county_fips,industry_code,year,bls_annual_establishments,bls_annual_employment,bls_total_annual_wages
47063,1026,2021,145,2669,50084025
47065,1026,2021,1155,21855,514327684
47067,1026,2021,3,35,625244
47069,1026,2021,35,298,5428832
47071,1026,2021,73,846,14993423
47073,1026,2021,75,951,14865084
47075,1026,2021,34,326,4730871
47077,1026,2021,46,682,10280644
47079,1026,2021,79,992,17682436
47081,1026,2021,32,298,5121425
47083,1026,2021,15,126,1849365
47085,1026,2021,54,648,10786610
47087,1026,2021,14,179,2885153
47089,1026,2021,83,1315,25056664
47091,1026,2021,33,360,5679320
47093,1026,2021,1338,27220,633016156
47095,1026,2021,13,135,2479188
47097,1026,2021,28,334,5583939
47099,1026,2021,78,1141,17945087
47101,1026,2021,26,311,6157621
47103,1026,2021,49,879,14095801
47105,1026,2021,110,1842,41975236
47107,1026,2021,106,1564,27339394
47109,1026,2021,33,430,6542487
47111,1026,2021,25,365,5580580
47113,1026,2021,260,5182,104070544
47115,1026,2021,65,1295,21929955
47117,1026,2021,48,672,12353010
47119,1026,2021,256,4049,84953191
47121,1026,2021,14,147,2876329
47123,1026,2021,94,1533,26949333
47125,1026,2021,459,8463,160387961
47127,1026,2021,8,57,943524
47129,1026,2021,15,165,3337797
47131,1026,2021,69,1026,18566300
47133,1026,2021,39,531,8411514
47135,1026,2021,11,93,1283555
47137,1026,2021,13,148,2706235
47139,1026,2021,46,508,8110457
47141,1026,2021,207,4051,77999056
47143,1026,2021,66,893,15270775
47145,1026,2021,93,1372,28070815
47147,1026,2021,119,1830,37037420
47149,1026,2021,731,14166,300856388
47151,1026,2021,31,475,9521516
47153,1026,2021,22,286,4937963
47155,1026,2021,771,21146,642027494
47157,1026,2021,2214,40710,1113844685
47159,1026,2021,26,366,5578746
47161,1026,2021,21,228,4135779
47163,1026,2021,377,7006,141758927
47165,1026,2021,376,6522,147290378
47167,1026,2021,82,1067,17235951
47169,1026,2021,9,149,2678353
47171,1026,2021,39,509,7544913
47173,1026,2021,23,227,3559647
47175,1026,2021,3,0,0
47177,1026,2021,67,996,15547036
47179,1026,2021,348,7231,149133313
47181,1026,2021,22,271,4360975
47183,1026,2021,67,827,14003963
47185,1026,2021,38,494,8226108
47187,1026,2021,1009,15023,428745699
47189,1026,2021,337,5603,120069989
47999,1026,2021,261,9,659488
48001,1026,2021,118,1754,33005780
48003,1026,2021,49,502,14270476
