county_fips,year,bls_labor_force,bls_employed
17073,2020,23724,21841
17075,2020,13553,12702
17077,2020,27164,25040
17079,2020,4574,4296
17081,2020,16965,15243
17083,2020,10582,9784
17085,2020,10444,9573
17087,2020,4092,3717
17089,2020,261366,237204
17091,2020,53935,49107
17093,2020,69257,63726
17095,2020,21060,19227
17097,2020,364341,334715
17099,2020,52719,47696
17101,2020,5807,5234
17103,2020,17091,15917
17105,2020,15888,14806
17107,2020,12068,11242
17109,2020,12783,11861
17111,2020,162389,149337
17113,2020,84856,79040
17115,2020,47088,42400
17117,2020,21912,20381
17119,2020,130987,120728
17121,2020,17055,15463
17123,2020,5057,4687
17125,2020,5910,5436
17127,2020,5419,4873
17129,2020,6049,5655
17131,2020,7600,6981
17133,2020,18391,17360
17135,2020,11441,10437
17137,2020,15863,14767
17139,2020,7258,6880
17141,2020,24110,22134
17143,2020,83503,74797
17145,2020,8082,7309
17147,2020,8358,7899
17149,2020,6734,6332
17151,2020,1625,1508
17153,2020,1760,1551
17155,2020,2939,2693
17157,2020,13740,12759
17159,2020,7356,6853
17161,2020,68527,62003
17163,2020,124156,112752
17165,2020,9514,8572
17167,2020,96628,88597
17169,2020,3133,2933
17171,2020,2348,2191
17173,2020,10235,9553
17175,2020,2355,2181
17177,2020,21077,19520
17179,2020,61893,56830
17181,2020,7181,6594
17183,2020,31919,28937
17185,2020,5758,5200
17187,2020,8064,7552
17189,2020,9537,9032
17191,2020,6770,6199
17193,2020,6107,5613
17195,2020,27633,25404
17197,2020,353824,321502
17199,2020,31373,28627
17201,2020,135573,120013
17203,2020,17973,16855
18001,2020,16801,15847
18003,2020,185777,171154
18005,2020,43746,40833
18007,2020,4169,3942
18009,2020,4838,4445
18011,2020,36161,34582
18013,2020,7545,7025
18015,2020,9424,8825
18017,2020,17666,16436
18019,2020,61771,57233
18021,2020,11613,10837
18023,2020,16765,15801
18025,2020,4878,4520
18027,2020,16573,15925
18029,2020,25403,23612
18031,2020,14980,13835
18033,2020,22247,20691
18035,2020,52566,48643
18037,2020,22631,21585
18039,2020,110701,102206
18041,2020,8617,7761
18043,2020,41394,38654
18045,2020,7727,7208
18047,2020,11339,10657
18049,2020,9693,9043
18051,2020,19608,18371
18053,2020,31656,29612
18055,2020,13290,12448
18057,2020,185235,176424
18059,2020,40833,38490
18061,2020,19999,18718
18063,2020,90395,85742
18065,2020,21920,20452
18067,2020,37213,33099
18069,2020,18090,16874
18071,2020,23141,21452
18073,2020,15563,14442
18075,2020,8829,8239
18077,2020,14981,13849
18079,2020,13582,12520
18081,2020,83128,78361
18083,2020,18301,17192
18085,2020,41439,38835
18087,2020,19327,18065
18089,2020,226716,202901
18091,2020,47462,42814
18093,2020,20719,19243
18095,2020,58554,53809
18097,2020,493768,453683
18099,2020,22724,21234
18101,2020,5416,5179
18103,2020,15207,13942
18105,2020,68032,64164
18107,2020,18639,17650
18109,2020,35540,33564
18111,2020,6568,6106
18113,2020,22895,20947
18115,2020,3165,2927
18117,2020,8523,7560
18119,2020,9032,8445
18121,2020,6864,6480
18123,2020,9095,8489
18125,2020,6181,5814
18127,2020,84471,77512
18129,2020,12794,12148
18131,2020,6412,6015
18133,2020,16215,15170
18135,2020,11213,10463
18137,2020,13945,13036
18139,2020,8781,8222
18141,2020,133759,122232
18143,2020,10483,9579
18145,2020,23058,21363
18147,2020,10354,9764
18149,2020,9765,8963
18151,2020,19939,18668
18153,2020,7979,7415
18155,2020,4815,4419
18157,2020,91931,85829
18159,2020,9041,8473
18161,2020,3475,3279
18163,2020,92325,85615
18165,2020,6610,6104
18167,2020,46297,42592
18169,2020,14495,13592
18171,2020,3969,3748
18173,2020,31868,30104
18175,2020,13581,12621
18177,2020,30178,28099
18179,2020,13893,13072
18181,2020,13188,12504
18183,2020,17299,16249
19001,2020,4204,4042
19003,2020,2040,1964
19005,2020,7039,6689
19007,2020,5885,5577
19009,2020,3000,2899
19011,2020,12808,12169
19013,2020,67261,63188
19015,2020,14458,13882
19017,2020,13669,13146
19019,2020,11115,10617
19021,2020,11641,11222
19023,2020,7676,7326
19025,2020,4068,3905
19027,2020,10523,10114
19029,2020,6745,6488
19031,2020,10381,9937
19033,2020,23068,21888
19035,2020,6183,5953
19037,2020,6274,5987
19039,2020,4765,4513
19041,2020,8368,7999
19043,2020,9657,9119
19045,2020,22002,20548
19047,2020,7923,7515
19049,2020,50683,48911
19051,2020,4114,3952
19053,2020,4197,4039
19055,2020,10383,9979
19057,2020,18574,17216
19059,2020,9771,9283
19061,2020,55031,51877
19063,2020,5033,4788
19065,2020,10237,9688
19067,2020,8230,7744
19069,2020,5582,5375
19071,2020,3693,3581
19073,2020,5306,5084
19075,2020,6285,6016
19077,2020,5387,5123
19079,2020,6771,6478
19081,2020,5749,5486
19083,2020,7769,7417
19085,2020,6967,6687
19087,2020,9452,8959
19089,2020,5094,4872
19091,2020,4933,4729
19093,2020,3974,3835
19095,2020,10053,9618
19097,2020,10582,9949
19099,2020,19168,18167
19101,2020,9787,9257
19103,2020,84503,80507
19105,2020,10218,9647
19107,2020,5140,4891
19109,2020,8099,7798
19111,2020,15629,14622
19113,2020,119332,111888
19115,2020,5936,5649
19117,2020,4606,4441
19119,2020,6830,6662
19121,2020,8350,7881
19123,2020,11832,11278
19125,2020,17929,17189
19127,2020,17508,16294
19129,2020,6954,6680
19131,2020,6047,5845
19133,2020,4364,4161
19135,2020,3943,3742
19137,2020,4849,4627
19139,2020,21277,20042
19141,2020,8083,7816
19143,2020,3497,3398
19145,2020,6188,5884
19147,2020,4545,4340
19149,2020,14310,13804
19151,2020,4207,4062
19153,2020,264046,248404
19155,2020,47020,44576
19157,2020,9751,9280
19159,2020,2369,2279
19161,2020,5162,4983
19163,2020,86696,80925
19165,2020,6336,6112
19167,2020,21131,20584
19169,2020,56620,54611
19171,2020,9215,8752
19173,2020,3068,2958
19175,2020,6153,5800
19177,2020,3664,3499
19179,2020,17316,16299
19181,2020,27696,26458
19183,2020,11388,10929
19185,2020,2786,2664
19187,2020,18622,17662
19189,2020,5036,4720
19191,2020,11108,10576
19193,2020,54453,51635
19195,2020,4082,3866
19197,2020,6960,6689
20001,2020,6430,6086
20003,2020,4304,4130
20005,2020,6889,6426
20007,2020,2323,2249
20009,2020,13708,13084
20011,2020,6727,6344
20013,2020,5163,4937
20015,2020,32562,30435
20017,2020,1459,1380
20019,2020,1488,1397
20021,2020,10027,9507
20023,2020,1307,1279
20025,2020,1141,1118
20027,2020,3827,3658
20029,2020,3861,3705
20031,2020,3954,3752
20033,2020,870,841
20035,2020,16868,15774
20037,2020,19033,17991
20039,2020,1231,1187
20041,2020,8913,8489
20043,2020,4157,3967
20045,2020,64306,60493
20047,2020,1466,1423
20049,2020,1173,1116
20051,2020,17117,16543
20053,2020,2717,2633
20055,2020,20655,19974
20057,2020,17341,16773
20059,2020,14294,13531
20061,2020,11702,10885
20063,2020,1467,1429
20065,2020,1140,1089
20067,2020,3113,2988
20069,2020,3250,3180
20071,2020,822,808
20073,2020,3120,2957
20075,2020,1622,1596
20077,2020,2797,2675
20079,2020,16855,15965
20081,2020,2251,2200
20083,2020,1020,994
20085,2020,7270,6884
20087,2020,10286,9794
20089,2020,1255,1218
20091,2020,343296,326064
20093,2020,2034,1983
20095,2020,3266,3094
20097,2020,1251,1212
20099,2020,9701,9158
20101,2020,759,737
20103,2020,36823,34703
20105,2020,1742,1692
20107,2020,4354,4044
20109,2020,1615,1577
20111,2020,16696,15925
20113,2020,17244,16662
20115,2020,5979,5740
20117,2020,5507,5342
20119,2020,2159,2100
20121,2020,17661,16787
20123,2020,3442,3352
20125,2020,14946,13855
20127,2020,3092,2971
20129,2020,1134,1100
20131,2020,5606,5450
20133,2020,6252,5856
20135,2020,1354,1309
20137,2020,2656,2588
20139,2020,7991,7586
20141,2020,1982,1928
20143,2020,2986,2864
20145,2020,2864,2761
20147,2020,2654,2567
20149,2020,12192,11688
20151,2020,4945,4770
20153,2020,1551,1512
20155,2020,29892,28277
20157,2020,2325,2250
20159,2020,5107,4897
20161,2020,33725,32091
20163,2020,2514,2416
20165,2020,1580,1508
20167,2020,3323,3187
20169,2020,29640,28040
20171,2020,2837,2769
20173,2020,259084,236433
20175,2020,9846,9434
20177,2020,91572,86272
20179,2020,1472,1438
20181,2020,2883,2789
20183,2020,2000,1948
20185,2020,2032,1959
20187,2020,1081,1057
20189,2020,2816,2740
20191,2020,10907,10015
20193,2020,4253,4137
20195,2020,1454,1405
20197,2020,3693,3543
20199,2020,840,823
20201,2020,3077,3005
20203,2020,1248,1224
20205,2020,3926,3622
20207,2020,1570,1476
20209,2020,78124,71985
21001,2020,6979,6488
21003,2020,8613,8146
21005,2020,11696,11001
21007,2020,3305,3093
21009,2020,17969,16643
21011,2020,4511,4145
21013,2020,8136,7517
21015,2020,70172,66475
21017,2020,9511,8966
21019,2020,17365,15948
21021,2020,12489,11597
21023,2020,3693,3469
21025,2020,3233,2909
21027,2020,7773,7220
21029,2020,41908,39294
21031,2020,4830,4498
21033,2020,5551,5218
21035,2020,17671,16599
21037,2020,49276,46611
21039,2020,2149,2051
21041,2020,5261,4958
21043,2020,9470,8579
21045,2020,6616,6214
21047,2020,24321,22426
21049,2020,16861,15784
21051,2020,5139,4711
21053,2020,3927,3732
21055,2020,3652,3454
21057,2020,3235,3081
21059,2020,45588,42883
21061,2020,4564,4220
21063,2020,1940,1750
21065,2020,5109,4731
21067,2020,170797,161205
21069,2020,6073,5638
21071,2020,10584,9644
21073,2020,24586,23017
21075,2020,1973,1845
21077,2020,3927,3696
21079,2020,7472,7012
21081,2020,11527,10731
21083,2020,15468,14574
21085,2020,10582,9777
21087,2020,5116,4847
21089,2020,13072,11932
21091,2020,3790,3564
21093,2020,47386,44082
21095,2020,6472,5727
21097,2020,8622,8103
21099,2020,7595,7111
21101,2020,20542,19301
21103,2020,7975,7524
21105,2020,1707,1619
21107,2020,17918,16619
21109,2020,4015,3677
21111,2020,387214,361264
21113,2020,25780,24363
21115,2020,6546,5996
21117,2020,85512,80682
21119,2020,4263,3909
21121,2020,9819,9030
21123,2020,5808,5397
21125,2020,24775,23096
21127,2020,5176,4757
21129,2020,2031,1893
21131,2020,2564,2292
21133,2020,6030,5433
21135,2020,4627,4197
21137,2020,9158,8447
21139,2020,3479,3221
21141,2020,12031,11379
21143,2020,3037,2879
21145,2020,28577,26594
21147,2020,4795,4456
21149,2020,3940,3721
21151,2020,45571,42876
21153,2020,3164,2668
21155,2020,9163,8459
21157,2020,14712,13825
21159,2020,2462,2182
21161,2020,6814,6283
21163,2020,11682,10868
21165,2020,2238,2043
21167,2020,9807,9109
21169,2020,3960,3657
21171,2020,4531,4293
21173,2020,11260,10382
21175,2020,4369,4079
21177,2020,9859,9022
21179,2020,22567,21026
21181,2020,3252,3031
21183,2020,9220,8570
21185,2020,32249,30718
21187,2020,5057,4740
21189,2020,1073,972
21191,2020,6722,6379
21193,2020,8087,7384
21195,2020,18991,17439
21197,2020,5015,4653
21199,2020,25576,23738
21201,2020,782,736
21203,2020,6335,5880
21205,2020,9909,9186
21207,2020,6033,5545
21209,2020,29699,27887
21211,2020,25260,23916
21213,2020,8468,7866
21215,2020,10281,9703
21217,2020,12896,12141
21219,2020,5360,5108
21221,2020,5931,5526
21223,2020,3760,3510
21225,2020,5889,5521
21227,2020,63077,59022
21229,2020,6045,5673
21231,2020,7301,6838
21233,2020,5379,5040
21235,2020,13712,12758
21237,2020,2067,1913
21239,2020,14761,14039
22001,2020,23197,21408
22003,2020,8349,7545
22005,2020,63977,59474
22007,2020,8726,7803
22009,2020,14850,13602
22011,2020,14316,13303
22013,2020,5347,4914
22015,2020,56481,52730
22017,2020,100939,91444
22019,2020,96852,87676
22021,2020,3629,3347
22023,2020,3488,3276
22025,2020,3430,3172
22027,2020,5431,5049
22029,2020,6858,6264
22031,2020,10634,9825
22033,2020,224875,206505
22035,2020,1802,1577
22037,2020,7530,6996
22039,2020,11880,10910
22041,2020,7278,6651
22043,2020,8077,7517
22045,2020,27355,24626
22047,2020,13572,12164
22049,2020,6688,6308
22051,2020,208437,188494
22053,2020,12666,11656
22055,2020,113595,105162
22057,2020,40958,38149
22059,2020,6796,6450
22061,2020,20886,19507
22063,2020,68403,63814
22065,2020,3514,3199
22067,2020,9963,8936
22069,2020,16003,14844
22071,2020,178850,156655
22073,2020,69033,63661
22075,2020,9482,8782
22077,2020,9400,8619
22079,2020,54413,50813
22081,2020,3565,3331
22083,2020,8056,7407
22085,2020,9158,8618
22087,2020,19894,17818
22089,2020,24241,22268
22091,2020,4217,3705
22093,2020,8796,7892
22095,2020,19085,16863
22097,2020,32014,29087
22099,2020,21667,19808
22101,2020,19281,17425
