county_fips,year,bea_total_income,population
4013,2021,274211492000,4494693
4013,2022,288842282000,4551524
4015,2020,8616065000,214176
4015,2021,9280769000,216957
4015,2022,9858399000,220816
4017,2020,4123196000,106762
4017,2021,4531048000,107621
4017,2022,4573766000,108650
4019,2020,51841647000,1045175
4019,2021,55627320000,1048895
4019,2022,57601036000,1057597
4021,2020,17841594000,429446
4021,2021,19975536000,448144
4021,2022,21327852000,464154
4023,2020,2059709000,47705
4023,2021,2263306000,48034
4023,2022,2335466000,48759
4025,2020,11138173000,237216
4025,2021,12125489000,242193
4025,2022,12739608000,246191
4027,2020,8626323000,204528
4027,2021,9133418000,206241
4027,2022,9313549000,207842
5001,2020,889787000,17107
5001,2021,986456000,16683
5001,2022,954705000,16512
5003,2020,755635000,18962
5003,2021,805232000,18649
5003,2022,820289000,18354
5005,2020,1711844000,41687
5005,2021,1854314000,42171
5005,2022,1884203000,42435
5007,2020,23837710000,286586
5007,2021,27734350000,294337
5007,2022,29929592000,302863
5009,2020,1441937000,37383
5009,2021,1609353000,37890
5009,2022,1621982000,38284
5011,2020,452701000,10488
5011,2021,484062000,10332
5011,2022,493979000,10135
5013,2020,201548000,4738
5013,2021,217459000,4737
5013,2022,220763000,4695
5015,2020,985862000,28242
5015,2021,1164909000,28480
5015,2022,1199428000,28742
5017,2020,450882000,10157
5017,2021,489973000,10071
5017,2022,448138000,9873
5019,2020,890633000,21387
5019,2021,908431000,21217
5019,2022,899714000,21250
5021,2020,572509000,14528
5021,2021,641056000,14370
5021,2022,621016000,14265
5023,2020,1113788000,24696
5023,2021,1193094000,25044
5023,2022,1225404000,25284
5025,2020,318937000,7550
5025,2021,358307000,7490
5025,2022,382501000,7467
5027,2020,941364000,22742
5027,2021,990615000,22510
5027,2022,1006341000,22216
5029,2020,869822000,20729
5029,2021,961031000,20911
5029,2022,997242000,21046
5031,2020,4722967000,111603
5031,2021,5225662000,111788
5031,2022,5240992000,113017
5033,2020,2312530000,60147
5033,2021,2495071000,60423
5033,2022,2548937000,61075
5035,2020,1992354000,48086
5035,2021,2147119000,47475
5035,2022,2074083000,47061
5037,2020,674797000,16796
5037,2021,714507000,16693
5037,2022,682241000,16601
5039,2020,281645000,6442
5039,2021,292289000,6306
5039,2022,291264000,6191
5041,2020,505934000,11320
5041,2021,551776000,11050
5041,2022,519235000,10771
5043,2020,741649000,17314
5043,2021,787625000,17070
5043,2022,786634000,16911
5045,2020,5524890000,123811
5045,2021,5953499000,125645
5045,2022,6148429000,127665
5047,2020,613609000,17135
5047,2021,696902000,17166
5047,2022,726190000,17271
5049,2020,392261000,12057
5049,2021,422282000,12156
5049,2022,421076000,12382
5051,2020,4524202000,100249
5051,2021,4794647000,100386
5051,2022,4855065000,100089
5053,2020,776128000,18022
5053,2021,822901000,18149
5053,2022,832590000,18160
5055,2020,1788393000,45864
5055,2021,1925991000,46349
5055,2022,1930354000,46448
5057,2020,711708000,19981
5057,2021,797397000,19679
5057,2022,835478000,19453
5059,2020,1155253000,33075
5059,2021,1243249000,33108
5059,2022,1250402000,33203
5061,2020,460065000,12755
5061,2021,549620000,12676
5061,2022,593830000,12557
5063,2020,1463218000,37936
5063,2021,1624713000,37742
5063,2022,1677784000,37945
5065,2020,446722000,13597
5065,2021,479722000,13928
5065,2022,486899000,14048
5067,2020,704723000,16755
5067,2021,740685000,16780
5067,2022,763307000,16624
5069,2020,2563739000,66833
5069,2021,2711383000,65649
5069,2022,2620357000,64246
5071,2020,819712000,25722
5071,2021,911526000,25977
5071,2022,923172000,26001
5073,2020,255543000,6299
5073,2021,291415000,6155
5073,2022,303143000,6101
5075,2020,634030000,16212
5075,2021,659532000,16316
5075,2022,684995000,16205
5077,2020,281931000,8528
5077,2021,338841000,8559
5077,2022,299580000,8364
5079,2020,380907000,12889
5079,2021,437200000,13151
5079,2022,426771000,12916
5081,2020,455785000,11975
5081,2021,488942000,11954
5081,2022,492826000,11821
5083,2020,751733000,21103
5083,2021,828606000,21207
5083,2022,868001000,21253
5085,2020,3344635000,74046
5085,2021,3587415000,74766
5085,2022,3643342000,75225
5087,2020,581400000,16546
5087,2021,728676000,16936
5087,2022,776295000,17486
5089,2020,570560000,16877
5089,2021,629846000,16970
5089,2022,633539000,17254
5091,2020,1601509000,42579
5091,2021,1718347000,42499
5091,2022,1701140000,42552
5093,2020,1535387000,40544
5093,2021,1798038000,39577
5093,2022,1690235000,38896
5095,2020,266730000,6774
5095,2021,284617000,6660
5095,2022,263367000,6564
5097,2020,295907000,8488
5097,2021,323885000,8638
5097,2022,324465000,8556
5099,2020,292888000,8285
5099,2021,320541000,8195
5099,2022,331338000,8181
5101,2020,255603000,7193
5101,2021,274661000,7164
5101,2022,267799000,7078
5103,2020,982695000,22614
5103,2021,1048265000,22344
5103,2022,1060554000,22049
5105,2020,406292000,10000
5105,2021,432755000,9989
5105,2022,445440000,10063
5107,2020,660447000,16443
5107,2021,735350000,15822
5107,2022,678609000,15304
5109,2020,360001000,10172
5109,2021,409559000,10121
5109,2022,420273000,10179
5111,2020,897929000,22952
5111,2021,982637000,22730
5111,2022,956842000,22495
5113,2020,651887000,19187
5113,2021,734452000,19331
5113,2022,766743000,19337
5115,2020,2395561000,63403
5115,2021,2639042000,63756
5115,2022,2671080000,64065
5117,2020,337175000,8246
5117,2021,358569000,8094
5117,2022,351242000,8069
5119,2020,22224069000,399246
5119,2021,24069176000,398069
5119,2022,24577444000,399145
5121,2020,687895000,18590
5121,2021,756971000,18842
5121,2022,771640000,18837
5123,2020,772479000,23013
5123,2021,839301000,22701
5123,2022,800581000,22451
5125,2020,5853561000,123815
5125,2021,6415223000,125319
5125,2022,6664373000,127357
5127,2020,333388000,9828
5127,2021,371120000,9795
5127,2022,391170000,9805
5129,2020,247417000,7842
5129,2021,272791000,7880
5129,2022,266175000,7918
5131,2020,5785033000,127800
5131,2021,6143094000,128425
5131,2022,6244050000,129059
5133,2020,562182000,15779
5133,2021,656462000,15709
5133,2022,703523000,15686
5135,2020,642272000,17319
5135,2021,727498000,17660
5135,2022,778798000,17810
5137,2020,420786000,12350
5137,2021,463067000,12432
5137,2022,463480000,12575
5139,2020,1966644000,38926
5139,2021,1912584000,38364
5139,2022,1932163000,37752
5141,2020,566489000,15801
5141,2021,615155000,15751
5141,2022,619122000,16102
5143,2020,11075145000,246756
5143,2021,12289180000,251692
5143,2022,12491671000,256054
5145,2020,3136841000,76851
5145,2021,3334976000,77157
5145,2022,3388120000,77755
5147,2020,284717000,6228
5147,2021,310727000,6153
5147,2022,304344000,6049
5149,2020,744752000,20214
5149,2021,845734000,20152
5149,2022,886286000,20129
6001,2020,147136291000,1680380
6001,2021,162176203000,1643837
6001,2022,159241119000,1628997
6003,2020,89202000,1204
6003,2021,86288000,1235
6003,2022,80386000,1190
6005,2020,1919536000,40532
6005,2021,2056386000,41144
6005,2022,2006939000,41412
6007,2020,10781637000,210135
6007,2021,11548920000,206190
6007,2022,11396345000,207303
6009,2020,2452765000,45346
6009,2021,2621697000,46219
6009,2022,2607568000,46563
6011,2020,1225922000,21858
6011,2021,1295098000,21913
6011,2022,1216260000,21914
6013,2020,100692971000,1165986
6013,2021,110320394000,1163298
6013,2022,109965993000,1156966
6015,2020,1144798000,27601
6015,2021,1231849000,27553
6015,2022,1182855000,27082
6017,2020,14187909000,191220
6017,2021,15436024000,193590
6017,2022,15808893000,192646
6019,2020,48552515000,1009503
6019,2021,52363942000,1012992
6019,2022,51316407000,1015190
6021,2020,1430189000,28896
6021,2021,1497724000,28664
6021,2022,1446856000,28339
6023,2020,6850029000,136261
6023,2021,7310048000,134836
6023,2022,7296395000,135010
6025,2020,8183274000,179595
6025,2021,8643247000,179215
6025,2022,8075656000,178713
6027,2020,1134595000,19001
6027,2021,1153492000,18927
6027,2022,1151182000,18718
6029,2020,40300516000,905828
6029,2021,42561996000,912351
6029,2022,41098858000,916108
6031,2020,6292586000,152790
6031,2021,6690054000,152679
6031,2022,6505590000,152981
6033,2020,3001704000,68195
6033,2021,3213324000,68584
6033,2022,3111067000,68191
6035,2020,1230010000,32317
6035,2021,1309137000,31813
6035,2022,1217102000,29904
6037,2020,673306158000,9992236
6037,2021,720046822000,9811842
6037,2022,720740528000,9721138
6039,2020,6940713000,156343
6039,2021,7553475000,158910
6039,2022,7436909000,160256
6041,2020,37796487000,261282
6041,2021,42936183000,259162
6041,2022,43824350000,256018
6043,2020,979407000,17118
6043,2021,1036419000,17107
6043,2022,1042143000,17020
6045,2020,4794385000,91361
6045,2021,5159935000,91003
6045,2022,5145470000,89783
6047,2020,12445651000,281814
6047,2021,13532782000,284458
6047,2022,13395227000,290014
6049,2020,459764000,8663
6049,2021,476942000,8571
6049,2022,481376000,8511
6051,2020,798867000,13226
6051,2021,834235000,13261
6051,2022,847409000,12978
6053,2020,26398134000,438390
6053,2021,28333347000,437249
6053,2022,28189179000,432858
6055,2020,11260752000,137485
6055,2021,11907435000,136206
6055,2022,11665710000,134300
6057,2020,6796594000,102249
6057,2021,7333293000,103457
6057,2022,7442705000,102293
6059,2020,240734263000,3185516
6059,2021,257834298000,3161005
6059,2022,263290135000,3151184
6061,2020,30054657000,405889
6061,2021,32903884000,412789
6061,2022,34170169000,417772
6063,2020,1079139000,19749
6063,2021,1170312000,19940
6063,2022,1149201000,19351
6065,2020,116939915000,2422847
6065,2021,126261006000,2453178
6065,2022,127195983000,2473902
6067,2020,90813891000,1586465
6067,2021,98105641000,1588106
6067,2022,97517936000,1584169
6069,2020,3864377000,64521
6069,2021,4143744000,66675
6069,2022,4169135000,67579
6071,2020,100359889000,2183239
6071,2021,108700135000,2192882
6071,2022,108081645000,2193656
6073,2020,222600097000,3296045
6073,2021,240216669000,3274954
6073,2022,243506541000,3276208
6075,2020,117292346000,870393
6075,2021,129774521000,811253
6075,2022,125970097000,808437
6077,2020,40056124000,780558
6077,2021,43999624000,788140
6077,2022,42979635000,793229
6079,2020,17765128000,281879
6079,2021,19192484000,279298
6079,2022,19162980000,282013
6081,2020,108186874000,762511
6081,2021,129090019000,739060
6081,2022,127657596000,729181
6083,2020,30839511000,448244
6083,2021,33642845000,437434
6083,2022,33607554000,443837
6085,2020,240677946000,1931026
6085,2021,272711739000,1886595
6085,2022,270162197000,1870945
6087,2020,21176826000,270462
6087,2021,23183258000,260495
6087,2022,22832350000,264370
6089,2020,9325879000,181984
6089,2021,9926304000,181981
6089,2022,9791945000,180930
6091,2020,145880000,3228
6091,2021,154098000,3295
6091,2022,154021000,3217
6093,2020,2168815000,43991
6093,2021,2310238000,44026
6093,2022,2261048000,43660
6095,2020,25816822000,452698
6095,2021,26963798000,450350
6095,2022,26149679000,448747
6097,2020,35091038000,488281
6097,2021,38047053000,484315
6097,2022,37598558000,482650
6099,2020,26848535000,553217
6099,2021,28820142000,552851
6099,2022,28123096000,551275
6101,2020,4927076000,99464
6101,2021,5289376000,99038
6101,2022,5122683000,98503
6103,2020,2947996000,65682
6103,2021,3121904000,65380
6103,2022,3087088000,65245
6105,2020,538535000,16089
6105,2021,565409000,16061
6105,2022,573075000,15781
6107,2020,21572811000,473891
6107,2021,23191982000,476946
6107,2022,22585661000,477544
6109,2020,2749488000,55374
6109,2021,2930342000,55065
6109,2022,2879540000,54531
6111,2020,57575258000,843310
6111,2021,62554527000,839358
6111,2022,63589878000,832605
6113,2020,13043398000,216291
6113,2021,14126183000,213039
6113,2022,14277264000,222115
6115,2020,3745504000,81994
6115,2021,4078703000,83216
6115,2022,4064114000,84310
8001,2020,25292075000,520479
8001,2021,27847450000,523592
8001,2022,28848586000,527575
8003,2020,665499000,16377
8003,2021,728631000,16563
8003,2022,714630000,16592
8005,2020,45295999000,655207
8005,2021,47612390000,656557
8005,2022,50041017000,655808
8007,2020,680737000,13425
8007,2021,746141000,13798
8007,2022,771848000,14003
8009,2020,156544000,3482
8009,2021,174455000,3487
8009,2022,156700000,3432
8011,2020,166536000,5478
8011,2021,187311000,5337
8011,2022,178050000,5399
8013,2020,27027395000,330922
8013,2021,30572385000,327075
8013,2022,32273001000,327468
8014,2020,5477555000,74484
8014,2021,6118620000,75375
8014,2022,6617214000,76121
8015,2020,1094482000,19477
8015,2021,1235869000,19711
8015,2022,1305609000,20223
8017,2020,78993000,1744
8017,2021,117909000,1716
8017,2022,91153000,1732
8019,2020,645814000,9393
8019,2021,690334000,9445
8019,2022,724589000,9355
8021,2020,307011000,7458
8021,2021,345123000,7578
8021,2022,328167000,7579
8023,2020,138338000,3501
8023,2021,147919000,3595
8023,2022,142574000,3603
8025,2020,128764000,5694
8025,2021,143559000,5731
8025,2022,124853000,5614
8027,2020,225385000,4719
8027,2021,258290000,5064
8027,2022,270913000,5335
8029,2020,1328211000,31051
8029,2021,1450878000,31383
8029,2022,1504032000,31602
8031,2020,62300101000,717556
8031,2021,73394068000,711323
8031,2022,80091302000,713252
8033,2020,91513000,2332
8033,2021,96582000,2370
8033,2022,95651000,2455
8035,2020,30173610000,360303
8035,2021,33449724000,369825
8035,2022,37286156000,375988
8037,2020,4902584000,55665
8037,2021,5769133000,55773
8037,2022,6282742000,55285
8039,2020,1724302000,26207
8039,2021,1948630000,27133
8039,2022,2120057000,27799
8041,2020,39915623000,732342
8041,2021,44024239000,737228
8041,2022,45230988000,740567
8043,2020,1874391000,48878
8043,2021,2062979000,49234
8043,2022,2108860000,49621
8045,2020,3566217000,61792
8045,2021,3818447000,62195
8045,2022,4088503000,62271
8047,2020,322917000,5824
8047,2021,368774000,5899
8047,2022,390485000,5891
8049,2020,881856000,15748
8049,2021,1015699000,15870
