state_code,year,population,ef_overall,ef_government_spending,ef_taxation,ef_regulation,bea_pce_total,bea_pce_durable_goods,bea_pce_nondurable_goods,bea_pce_services,bea_pce_npish
PA,2021,13012059,6.67,6.37,6.14,7.5,635951371566.0,76615003392.0,137199150096.0,396100088019.0,26037130059.0
PA,2022,12972008,,,,,696635745624.0,81139910040.0,154198259096.0,431643566200.0,29654010288.0
RI,2020,1096345,5.32,5.16,5.85,4.94,47361007655.0,4468702220.0,9931789355.0,30652709855.0,2307806225.0
RI,2021,1096985,5.31,4.87,5.68,5.37,53435236335.0,5364256650.0,11204604790.0,34597809915.0,2268564980.0
RI,2022,1093734,,,,,57771029880.0,5627261430.0,11880138708.0,37672573896.0,2591055846.0
SC,2020,5131848,6.47,5.36,6.42,7.64,195697891632.0,23242139592.0,49096389816.0,119335993392.0,4023368832.0
SC,2021,5193266,6.62,5.51,6.37,7.98,222946909380.0,28640861990.0,56315776504.0,134547135528.0,3443135358.0
SC,2022,5282634,,,,,244163343480.0,30248362284.0,62298102762.0,147232292214.0,4384586220.0
SD,2020,887799,7.73,8.26,7.63,7.31,36651893916.0,4019953872.0,7117484583.0,23669609139.0,1844846322.0
SD,2021,896164,7.59,7.62,7.74,7.41,41173358816.0,4850039568.0,8065476000.0,26426980196.0,1830863052.0
SD,2022,909824,,,,,44578646528.0,5043154432.0,8962676224.0,28515703808.0,2057112064.0
TN,2020,6925619,7.85,7.34,8.11,8.1,261449042869.0,29911748461.0,60730753011.0,166055566763.0,4757900253.0
TN,2021,6968351,7.73,7.15,7.89,8.14,297834290091.0,37670905506.0,69627763192.0,186354610793.0,4181010600.0
TN,2022,7051339,,,,,326335968920.0,39628525180.0,76894851795.0,204714473848.0,5105169436.0
TX,2020,29232474,7.67,7.87,7.02,8.12,1176168591390.0,150898030788.0,270078827286.0,726573141270.0,28618592046.0
TX,2021,29558864,7.64,7.26,7.27,8.39,1343745957440.0,192723793280.0,309037923120.0,815706410944.0,26277830096.0
TX,2022,30029572,,,,,1473911452904.0,205612479484.0,344559309128.0,892508909412.0,31230754880.0
UT,2020,3283785,7.07,6.62,6.68,7.92,125532532980.0,23518468170.0,26664334200.0,71730999540.0,3622014855.0
UT,2021,3339113,6.67,6.11,6.04,7.87,146420105050.0,29748157717.0,31073785578.0,82072058427.0,3522764215.0
UT,2022,3380800,,,,,162917371200.0,32033080000.0,35353025600.0,91541921600.0,3989344000.0
VT,2020,642893,5.03,4.92,4.71,5.47,30323977024.0,3103244511.0,6566509102.0,18901697093.0,1752526318.0
VT,2021,646972,4.27,3.52,4.17,5.12,33123025484.0,3670919128.0,7084343400.0,20619644612.0,1748765316.0
VT,2022,647064,,,,,36069288552.0,3917972520.0,7856651088.0,22358002392.0,1936015488.0
VA,2020,5088345,7.5,7.77,6.34,8.41,218356148985.0,25991266260.0,48746345100.0,137960297985.0,5653151295.0
VA,2021,5105708,7.13,7.76,6.18,7.47,245089301124.0,31103973136.0,54743401176.0,154825489392.0,4416437420.0
VA,2022,5126722,,,,,266881767154.0,32493164036.0,59792958686.0,169089545004.0,5506099428.0
WA,2020,7724031,6.03,7.0,6.73,4.36,356912024448.0,43177333290.0,69979720860.0,228886210623.0,14876483706.0
WA,2021,7740745,6.01,6.93,6.7,4.4,403718555475.0,53070547720.0,78707895160.0,256954030275.0,14986082320.0
WA,2022,7785786,,,,,440418556662.0,56478091644.0,85472358708.0,281409449184.0,17058657126.0
WV,2020,1791420,5.19,4.5,6.09,4.97,66990150900.0,6587051340.0,15438457560.0,41586023880.0,3376826700.0
WV,2021,1785526,5.34,4.82,5.98,5.24,73694014598.0,7863456504.0,17233896952.0,45145239384.0,3451421758.0
WV,2022,1775156,,,,,78923435760.0,8112462920.0,18995944356.0,48065899012.0,3747354316.0
WI,2020,5896271,6.47,6.19,5.82,7.39,238386236530.0,30147633623.0,52358886480.0,144393780519.0,11480039637.0
WI,2021,5880101,6.49,6.09,5.81,7.58,267491674591.0,35762774282.0,59277298181.0,161191208713.0,11260393415.0
WI,2022,5892539,,,,,290407892076.0,37765282451.0,67269225224.0,172810491253.0,12562893148.0
WY,2020,577605,6.75,5.63,7.61,7.01,25579815030.0,2782900890.0,5535766320.0,16655817780.0,605330040.0
WY,2021,579483,6.63,4.96,7.86,7.08,28312380414.0,3278135331.0,6349974714.0,18122751342.0,561519027.0
WY,2022,581381,,,,,30466108543.0,3459798331.0,7086453009.0,19219874479.0,699982724.0
